Medio;Dirección;Especialidad;Tipo de medio;Ciudad;Provincia;matched_especialidad;measure value
24con.com;Mitre 3821, 1º piso - (1650) San Martín - Buenos Aires, Argentina;Interés general;Digital;San Martín;Buenos Aires;Interés general;0
26Noticias.com.ar ;Juan Manuel de Rosas 2860 - (1754) San Justo - Buenos Aires, Argentina;Interés general;Digital;San Justo;Buenos Aires;Interés general;0
ABC1 Digital ;*;Interés general;Digital;Paraná;Entre Ríos;Interés general;0
Abierta TV;*;Interés general;Digital;;Capital Federal;Interés general;0
Actualidad Misiones;*;Interés general;Digital;Posadas;Misiones;Interés general;0
Adn Mundo;*Depto. Comercial: Migueletes 715, 1º piso - (1426) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Agencia;;Capital Federal;Interés general;0
ADN Agencia Digital de Noticias;Laprida 139 - (8500) Viedma - Rio Negro, Argentina;Interés general;Agencia;Viedma;Río Negro;Interés general;0
ADNciudad.com;Hipólito Yrigoyen 850, 5º Piso, Of. 531 - (1086) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Digital;;Capital Federal;Interés general;0
Agencia CyTA- Instituto Leloir;*;Salud;Digital;;Capital Federal;Salud;0
Agencia de Noticias Digital (Prov. Buenos Aires);*;Interés general;Digital;;Capital Federal;Interés general;0
Agencia La Provincia;Dorrego 413 - (2705) Rojas - Buenos Aires, Argentina  ;Interés general;Agencia;Salto;Buenos Aires;Interés general;0
Agencia Latina Salud;Calle 48 Nº 633, 7º Piso, Of. 707 - (1900) La Plata - Buenos Aires, Argentina;Salud;Agencia;;Capital Federal;Salud;0
Agencia Nova;Diagonal 74 N° 1361 entre 8 y 9 - La Plata - Buenos Aires, Argentina;Interés general;Agencia;La Plata;Buenos Aires;Interés general;0
CID - Diario del Viajero;Av. de Mayo 666, 2º Piso - (1084) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Periódico;;Capital Federal;Interés general;0
AgenciaFe;*;Interés general;Agencia;*;Santa Fe;Interés general;0
AIM;México 360 - (3100) Paraná - Entre Ríos, Argentina ;Interés general;Digital;Paraná;Entre Ríos;Interés general;0
Ambito.com;Paseo Colón 1196 - Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Digital;;Capital Federal;Interés general;0
América 2;Fitz Roy 1650 - (1414) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Televisión;;Capital Federal;Interés general;0
América 24;*;Interés general;Televisión;;Capital Federal;Interés general;0
InfoCharata;*;Interés general;Digital;Charata ;Chaco;Interés general;0
ANBariloche;*;Interés general;Agencia;Bariloche;Río Negro;Interés general;0
ANInoticias;*;Interés general;Agencia;*;Buenos Aires;Interés general;0
FM 106.9 - Antena 3 ;Brasil 904 - (1625) Escobar - Buenos Aires, Argentina;Interés general;Radio;Escobar;Buenos Aires;Interés general;0
APF Digital;Tucumán 257, 2º Piso, Dto. 3 - (3100) Paraná - Entre Ríos, Argentina;Interés general;Digital;Paraná;Entre Ríos;Interés general;0
Argentina Municipal;*;Interés general;Digital;;Capital Federal;Interés general;0
Bariloche 2000;*;Interés general;Digital;Bariloche;Río Negro;Interés general;0
Buenos Aires Herald ;  San Juan 141 - (1063) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Periódico;;Capital Federal;Interés general;0
Cadenaaero.info;*;Interés general;Digital;;Capital Federal;Interés general;0
CadenaGlobal.com.ar;*;Interés general;Digital;Salta;Salta;Interés general;0
Cadena3.com;Alvear 139 - (5000) Córdoba - Córdoba, Argentina;Interés general;Digital;Córdoba;Córdoba;Interés general;0
Canal Provincial / Telered;H. Yrigoyen esquina Belgrano - (1629) Pilar - Buenos Aires;Interés general;Televisión;Pilar;Buenos Aires;Interés general;0
Catamarcaya.com;*;Interés general;Digital;San Fernando;Catamarca;Interés general;0
Chacas Noticias;*;Interés general;Digital;Resistencia;Chaco;Interés general;0
Ciudad;*;Interés general;Digital;;Capital Federal;Interés general;0
Ciudadano;Pellegrini 1413 - (5547) Godoy Cruz - Mendoza, Argentina ;Interés general;Digital;Godoy Cruz;Mendoza;Interés general;0
CN Saladillo;*San Martín 3248 - Saladillo - Buenos Aires, Argentina;Interés general;Digital;Saladillo;Buenos Aires;Interés general;0
Compacto de Noticias;Rivadavia 588 - (3100) Paraná - Entre Ríos, Argentina ;Interés general;Digital;Paraná;Entre Ríos;Interés general;0
Consignas;*;Interés general;Digital;*;Tierra del Fuego;Interés general;0
Consultor de Salud;Posadas 1564 2° piso, of. G y H - (1112) Ciudad Autónoma de Buenos Aires, Argentina;Salud;Periódico;;Capital Federal;Salud;0
Consultor de Salud (Digital);Posadas 1564 2° piso, of. G y H - (1112) Ciudad Autónoma de Buenos Aires, Argentina;Salud;Digital;;Capital Federal;Salud;0
Corrientes en el Aire.com;*;Interés general;Digital;Corrientes;Corrientes;Interés general;0
Corrientes Hoy;Tucumán 1112 - (3400) Corrientes - Corrientes, Argentina;Interés general;Digital;Corrientes;Corrientes;Interés general;0
Corrientes Noticias;Moreno 747 - (3400) Ciudad de Corrientes - Corrientes, Argentina;Interés general;Digital;Corrientes;Corrientes;Interés general;0
corrientesonline.com;Buenos Aires 1370 - (3400) Corrientes - Corrientes, Argentina;Interés general;Digital;Corrientes;Corrientes;Interés general;0
Datachaco.com;*;Interés general;Digital;Resistencia;Chaco;Interés general;0
datasantafe.com.ar ;*;Interés general;Digital;*;Santa Fe;Interés general;0
deArgentinos.com;*;Interés general;Digital;;Capital Federal;Interés general;0
DERF;*Regis Martínez 2752, Dto. 3 - (3000) Santa Fe - Santa Fe, Argentina;Interés general;Digital;Santa Fe;Santa Fe;Interés general;0
deriojanos.com.ar;*;Interés general;Digital;La Rioja;La Rioja;Interés general;0
