Medio;Dirección;Especialidad;Tipo de medio;Ciudad;Provincia;matched_especialidad;measure value;id_especialidad_lookup;matched_tipo_de_medio;measure value_1;id_tipo_medio_lookup;matched_provincia_name;measure value_2
Ediciones Médicas;*;Ciencia / Salud;Digital;*;*;Salud/Ciencia;2;114;Digital;0;42;;
El Profeta;*;Interés general;Digital;*;*;Interés general;0;166;Digital;0;42;;
Mercosurnoticias.com;*;Interés general;Digital;*;*;Interés general;0;166;Digital;0;42;;
Al Sur Informa.com;*;Interés general;Digital;*;*;Interés general;0;166;Digital;0;42;;
Equisradio;*;Música;Digital;*;*;Música;0;184;Digital;0;42;;
Radiolatitudsur.com;*;Interés general;Digital;*;*;Interés general;0;166;Digital;0;42;;
Causes revista de comunicación audiovisual;*;Comunicación;Revista;*;*;Comunicación;0;121;Revista;0;49;;
Nombre Falso, Comunicación y Sociología de la Cultura;Facultad de Humanidades y Ciencias Sociales, Univ. Nac. de la Patagonia San Juan Bosco;Comunicación;Revista;*;*;Comunicación;0;121;Revista;0;49;;
Global Media Journal;Centro de Investigación en Comunicación e Información. Tecnológico de Monterrey ;Comunicación;Revista;*;*;Comunicación;0;121;Revista;0;49;;
Razón y Palabra;Proyecto Internet del ITESM Campus Estado de México;Comunicación;Revista;*;*;Comunicación;0;121;Revista;0;49;;
