Ciudad;Provincia;matched_ciudad;measure value
*;Capital Federal;*;0
*;CApital Federal;*;0
*;Capital Federal;*;0
*;Capital Federal ;*;0
*;*;*;0
*;Buenos Aires;*;0
*;Capital Federal;*;0
*;Corrientes;*;0
*;Entre Ríos;*;0
*;Formosa;*;0
*;Jujuy;*;0
*;La Pampa;*;0
*;Mendoza;*;0
*;Misiones;*;0
*;Río Negro;*;0
*;Salta;*;0
*;Santa Cruz;*;0
*;Santa Fe;*;0
*;Tierra del Fuego;*;0
25 de Mayo;Buenos Aires;25 de Mayo;0
28 de Noviembre;Santa Cruz;28 de Noviembre;0
30 de Agosto;Buenos Aires;30 de Agosto;0
9 de Julio;Buenos Aires;9 de Julio;0
Abra Pampa;Jujuy;Abra Pampa;0
Acebal;Santa Fe;Acébal;1
Achiras;Córdoba;Achiras;0
Adelia María;Córdoba;Adelia María;0
Adrogué;Buenos Aires;Adrogué;0
Aguas Verdes;Buenos Aires;Aguas Verdes;0
Aguilares;Tucumán;Aguilares;0
Aimogasta;La Rioja;Aimogasta;0
Alberti;Buenos Aires;Alberti;0
Alcira Gigena;Córdoba;Alcira Gigena;0
Alcorta;Santa Fe;Alcorta;0
Alejandro Korn;Buenos Aires;Alejandro Korn;0
Alejandro Roca;Córdoba;Alejandro Roca;0
Allen;Río Negro;Allen;0
Almirante Brown;Buenos Aires;Almirante Brown;0
Alta Gracia;Córdoba;Alta Gracia;0
Alta Italia;La Pampa;Alta Italia;0
Alvarez;Santa Fe;Álvarez;1
América;Buenos Aires;América;0
Ancaloo;Santa Fe;Ancaloo;0
Andalgala;Catamarca;Andalgalá;1
Andalgalá;Catamarca;Andalgalá;0
Angel Etcheverri;Buenos Aires;Angel Etcheverri;0
Angélica;Santa Fe;Angélica;0
Anta Hualan;Catamarca;Anta Hualan;0
Apóstoles;Misiones;Apóstoles;0
Arata;La Pampa;Arata;0
Arequito;Santa Fe;Arequito;0
Arias;Córdoba;Arias;0
Armstrong;Santa Fe;Armstrong;0
Arrecifes;Buenos Aires;Arrecifes;0
Arroyito;Córdoba;Arroyito;0
Arroyo Seco;Santa Fe;Arroyo Seco;0
Arteaga;Santa Fe;Arteaga;0
Ascensión;Buenos Aires;Ascensión;0
Atblo. Del Valle;Misiones;Atblo. Del Valle;0
Avellaneda;Buenos Aires;Avellaneda;0
Avellaneda;Santa Fe ;Avellaneda;0
Ayacucho;Buenos Aires;Ayacucho;0
Azul;Buenos Aires;Azul;0
Añatuya;Santiago del Estero;Añatuya;0
Bahía Blanca;Buenos Aires;Bahía Blanca;0
Balcarce;Buenos Aires;Balcarce;0
Balnearia;Córdoba;Balnearia;0
Banda del rio Sali;Tucumán;Banda del rio Sali;0
Banda del Rio Sali;Tucumán;Banda del rio Sali;0
Banderas;Santiago del Estero;Bandera;1
Banfield;Buenos Aires;Banfield;0
Baradero;Buenos Aires;Baradero;0
Bariloche;Rio Negro;Bariloche;0
Bariloche;Río Negro;Bariloche;0
Barrancas;Santa Fe;Barrancas;0
Barranqueras;Chaco;Barranqueras;0
Barrio Marqués de Sobremonte;Córdoba;Barrio Marqués de Sobremonte;0
Basavilbaso;Entre Ríos;Basavilbaso;0
Beccar;Buenos Aires;Beccar;0
Belgrano;Santa Fe;Belgrano;0
Bell Ville;Córdoba;Bell Ville;0
Bella Vista;Buenos Aires;Bella Vista;0
Bella Vista;Chaco;Bella Vista;0
Bella Vista;Corrientes;Bella Vista;0
Belén;Catamarca;Belén;0
Belén de Escobar;Buenos Aires;Belén de Escobar;0
Benavidez;Buenos Aires;Benavidez;0
Bengoolea;Córdoba;Bengolea;1
Benito Juarez;Buenos Aires;Benito Juárez;1
Benito Juárez;Buenos Aires;Benito Juárez;0
Berazategui;Buenos Aires;Berazategui;0
Berisso;Buenos Aires;Berisso;0
Bernal;Buenos Aires;Berna;1
Berrotarán;Córdoba;Berrotarán;0
Bialet Massé;Córdoba;Bialet Massé;0
Bigand;Santa Fe;Bigand;0
Billinghurst;Buenos Aires;Billinghurst;0
Blaquier;Buenos Aires;Blaquier;0
Blgrano;Santa Fe;Blgrano;0
Bolsón;Rio Negro;Bolsón;0
Bolívar;Buenos Aires;Bolívar;0
Bonifacio;Buenos Aires;Bonifacio;0
Bonpland;Corrientes;Bonpland;0
Bouquet;Santa Fe;Bouquet;0
Bovril;Entre Ríos;Bovril;0
Bowen;Mendoza;Bowen;0
Bragado;Buenos Aires;Bragado;0
Brandsen;Buenos Aires;Brandsen;0
Brinckmann;Córdoba;Brinkmann;1
Brinkmann;Córdoba;Brinkmann;0
Buchardo;Córdoba;Buchardo;0
C de Patagones;Buenos Aires;C de Patagones;0
C L Piedrabuena;Santa Cruz;C L Piedrabuena;0
C. de Patagones;Buenos Aires;C. de Patagones;0
Ca. San Bartolomé;Córdoba;Ca. San Bartolomé;0
Cacharí;Buenos Aires;Cacharí;0
Cafayate;Salta;Cafayate;0
Calafate;Santa Cruz;Calafate;0
Calamuchita;Córdoba;Calamuchita;0
Calchaqui;Santa Fe;Calchaquí;1
Calchaquí;Santa Fe;Calchaquí;0
Calchaquí;Santa Fe ;Calchaquí;0
Caleta Oliva;Santa Cruz;Caleta Olivia;1
Caleta Olivia;Santa Cruz;Caleta Olivia;0
Caleta Olivia;Santa Cruz ;Caleta Olivia;0
Caleufú;La Pampa;Caleufú;0
Camarones;Chubut;Camarones;0
Campana;Buenos Aires;Campana;0
Campo Grande;Misiones;Campo Grande;0
Campo Largo;Chaco;Campo Largo;0
Campo Viera;Misiones;Campo Viera;0
Canals;Córdoba;Canals;0
Candelaria;Misiones;Candelaria;0
Canning;Buenos Aires;Canning;0
Capilla del Señor;Buenos Aires;Capilla del Señor;0
Capiovy;Misiones;Capioví;1
Capioví;Misiones;Capioví;0
Capitán Bermudez;Santa Fe;Capitán Bermúdez;1
Capitán Sarmiento;Buenos Aires;Capitán Sarmiento;0
Carapachay;Buenos Aires;Carapachay;0
Carcaraña;Santa Fe;Carcarañá;1
Carcarañá;Santa Fe;Carcarañá;0
Carhué;Buenos Aires;Carhué;0
Cariló;Buenos Aires;Catriló;1
Carlos Casares;Buenos Aires;Carlos Casares;0
Carlos Pellegrini;Santa Fe;Carlos Pellegrini;0
Carlos Pellegrini;Santa Fé;Carlos Pellegrini;0
Carlos Tejedor;Buenos Aires;Carlos Tejedor;0
Carmen de Areco;Buenos Aires;Carmen de Areco;0
Carmen de Patagones;Buenos Aires;Carmen de Patagones;0
Carrodilla;Mendoza;Carrodilla;0
Casbas;Buenos Aires;Casbas;0
Caseros;Buenos Aires;Caseros;0
Caseros;Entre Ríos;Caseros;0
Casilda;Santa Fe;Casilda;0
Castelar;Buenos Aires;Castelar;0
Castelli;Buenos Aires;Castelli;0
Catamarca;Catamarca;Catamarca;0
Catriel;Rio Negro;Catriel;0
Catriló;La Pampa;Catriló;0
Caucete;San Juan;Caucete;0
Caviahue;Neuquén;Caviahue;0
Caá Cati;Corrientes;Caá Cati;0
Caá Catí;Corrientes;Caá Catí;0
Cañada de Gómez;Santa Fe;Cañada de Gómez;0
Cañada Rosquín;Santa Fe;Cañada Rosquín;0
Cañada Seca;Buenos Aires;Cañada Seca;0
Cañuelas;Buenos Aires;Cañuelas;0
Cdro. Rivadavia;Chubut;Cdro. Rivadavia;0
Centenario;Neuquén;Centenario;0
Ceres;Santa Fe;Ceres;0
Cerrito;Entre Ríos;Cerrito;0
Cerro Azul;Misiones;Cerro Azul;0
Cervantes;Río Negro;Cervantes;0
Chabás;Santa Fe;Chabas;1
Chabás;Santa Fé;Chabas;1
Chacabuco;Buenos Aires;Chacabuco;0
Chacras de Coria;Mendoza;Chacras de Coria;0
Chajarí;Entre Ríos;Chajarí;0
Chaján;Córdoba;Chaján;0
Chamical;La Rioja;Chamical;0
Charata;Chaco;Charata;0
Charata;Chaco;Charata;0
Chascomús;Buenos Aires;Chascomús;0
Chavarría;Corrientes;Chavarría;0
Chañar Ladeado;Santa Fe;Chañar Ladeado;0
Chepes;La Rioja;Chepes;0
Chilecito;La Rioja;Chilecito;0
Chillar;Buenos Aires;Chillar;0
Chivilcoy;Buenos Aires;Chivilcoy;0
Choele Choel;Rio Negro;Choele Choel;0
Choele Choel;Río Negro;Choele Choel;0
Chos Malal;Neuquén;Chos Malal;0
Chovet;Santa Fe;Chovet;0
Chovet;Santa fe;Chovet;0
Chovet;Santa Fe;Chovet;0
Cinco Saltos;Río Negro;Cinco Saltos;0
Cipoletti;Rio Negro;Cipolletti;1
Cipoletti;Río Negro;Cipolletti;1
Cipolletti;Río Negro;Cipolletti;0
Ciudad de Caucete;San Juan;Ciudad de Caucete;0
Ciudad de Córdoba;Córdoba;Ciudad de Córdoba;0
Ciudad E. Madero;Buenos Aires;Ciudad E. Madero;0
Ciudadela;Buenos Aires;Ciudadela;0
CL Piedrabuena;Santa Cruz;CL Piedrabuena;0
Claromecó;Buenos Aires;Claromecó;0
Claypole;Buenos Aires;Claypole;0
Clorinda;Formosa;Clorinda;0
Cnel. Brandsen;Buenos Aires;Cnel. Brandsen;0
Cnel. Pringles;Buenos Aires;Cnel. Pringles;0
Cnia. Avellaneda;Entre Ríos;Cnia. Avellaneda;0
Cnia. Sarmiento;Chubut;Cnia. Sarmiento;0
Colonia Caroya;Córdoba;Colonia Caroya;0
Colón;Buenos Aires;Colón;0
Colón;Entre Ríos;Colón;0
Comodoro Rivadavia;Chubut;Comodoro Rivadavia;0
Concepción;Tucumán;Concepción;0
Concepción del Bermejo;Chaco;Concepción del Bermejo;0
Concepción del Uruguay;Entre Ríos;Concepción del Uruguay;0
Concepción del Uruguay;Tucumán;Concepción del Uruguay;0
Concordia;Entre Ríos;Concordia;0
Confluencia;Corrientes;Confluencia;0
Coronda;Santa Fe;Coronda;0
Coronda;Santa Fé;Coronda;0
Coronel Baigorria;Córdoba;Coronel Baigorria;0
Coronel Bustos;Córdoba;Coronel Bustos;0
Coronel Charlone;Buenos Aires;Coronel Charlone;0
Coronel Dorrego;Buenos Aires;Coronel Dorrego;0
Coronel Du Graty;Chaco;Coronel Du Graty;0
Coronel Moldes;Córdoba;Coronel Moldes;0
Coronel Pringles;Buenos Aires;Coronel Pringles;0
Coronel Suárez;Buenos Aires;Coronel Suárez;0
Coronel Vidal;Buenos Aires;Coronel Vidal;0
Corral de Bustos;Córdoba;Corral de Bustos;0
Corrientes;Corrientes;Corrientes;0
Corzuela;Chaco;Corzuela;0
Corzuela;Chaco;Corzuela;0
Cosquín;Córdoba;Cosquín;0
Costa Azul;Buenos Aires;Costa Azul;0
Cplla del Monte;Córdoba;Cplla del Monte;0
Cplla. Del Monte;Córdoba;Cplla. Del Monte;0
Crespo;Entre Ríos;Crespo;0
Crpto A Bernardi;Entre Ríos;Crpto A Bernardi;0
Cruz;Santa;Cruz;0
Cruz Alta;Córdoba;Cruz Alta;0
Cruz del Eje;Córdoba;Cruz del Eje;0
Cuartel V., Moreno;Buenos Aires;Cuartel V., Moreno;0
Curuzú Cuatiá;Corrientes;Curuzú Cuatiá;0
Cutral Có;Neuquén;Cutral Có;0
Córdoba;Córdoba;Córdoba;0
Córdoba;Córdoba ;Córdoba;0
Daireaux;Buenos Aires;Daireaux;0
Darregueira;Buenos Aires;Darregueira;0
Dean Funes;Córdoba;Deán Funes;1
Del Viso;Buenos Aires;Del Viso;0
Derqui;Buenos Aires;Derqui;0
Diamante;Entre Ríos;Diamante;0
Difunta Correa;San Juan;Difunta Correa;0
Dolavón;Chubut;Dolavon;1
Dolores;Buenos Aires;Dolores;0
Don Torcuato;Buenos Aires;Don Torcuato;0
Eduardo Castex;La Pampa;Eduardo Castex;0
El Bolsón;Rio Negro;El Bolsón;0
El Bolsón;Río Negro;El Bolsón;0
El Calafate;Santa Cruz;El Calafate;0
El Chalten;Santa Cruz;El Chaltén;1
El Colorado;Formosa;El Colorado;0
El Dorado;Misiones;El Dorado;0
El Hoyo;Chubut;El Hoyo;0
El Jagüel;Buenos Aires;El Jagüel;0
El Maitén;Chubut;El Maitén;0
El Palomar;Buenos Aires;El Palomar;0
El Pato;Buenos Aires;El Pato;0
El Quebrachal;Salta;El Quebrachal;0
El Soberbio;Misiones;El Soberbio;0
El Socorro;Buenos Aires;El Socorro;0
El Tala;Salta;El Tala;0
El Talar, Tigre;Buenos Aires;El Talar, Tigre;0
El Trébol;Santa Fe;El Trébol;0
El Trébol;Santa Fé;El Trébol;0
Eldorado;Misiones;Eldorado;0
Elortondo;Santa Fé;Elortondo;0
Embajador Martini;La Pampa;Embajador Martini;0
Embalse;Córdoba;Embalse;0
Embarcación;Salta;Embarcación;0
Emilia;Santa Fe;Emilia;0
Empedrado;Corrientes;Empedrado;0
Ensenada;Buenos Aires;Ensenada;0
Escobar;Buenos Aires;Escobar;0
Esperanza;Santa Fe;Esperanza;0
Esperanza;Santa Fé;Esperanza;0
Esquel;Chubut;Esquel;0
Esquel;Chubut;Esquel;0
Esquina;Corrientes;Esquina;0
Esteban Echeverría;Buenos Aires;Esteban Echeverría;0
Etruria;Córdoba;Etruria;0
Eugenio Bustos;Mendoza;Eugenio Bustos;0
Eusebia;Santa Fe;Eusebia;0
Exaltación de la Cruz;Buenos Aires;Exaltación de la Cruz;0
Ezeiza;Buenos Aires;Ezeiza;0
Famaila;Tucumán;Famaila;0
Famatina;La Rioja;Famatina;0
Federación;Entre Ríos;Federación;0
Federal;Entre Ríos;Federal;0
Felipe Solá;Buenos Aires;Felipe Solá;0
Fernandez;Santiago del Estero;Fernández;1
Fernández Oro;Río Negro;Fernández Oro;0
Fiambalá;Catamarca;Fiambalá;0
Firmat;Santa Fe;Firmat;0
Firmat;Santa Fé;Firmat;0
Florencio Varela;Buenos Aires;Florencio Varela;0
Florentino Ameghino;Buenos Aires;Florentino Ameghino;0
Florida;Buenos Aires;Florida;0
Fontana;Chaco;Fontana;0
Formosa;Formosa;Formosa;0
Fortín Olmos;Santa Fé;Fortín Olmos;0
Francisco Álvarez;Buenos Aires;Francisco Álvarez;0
Franck;Santa Fé;Franck;0
Fray Luis Beltrán;Santa Fé;Fray Luis Beltrán;0
Fray M. Esquiu;Catamarca;Fray M. Esquiu;0
Fray Mamerto Esquiú;Catamarca;Fray Mamerto Esquiú;0
Fray Mrto. Esquiú;Buenos Aires;Fray Mrto. Esquiú;0
Freyre;Córdoba;Freyre;0
Frías;Santiago del Estero;Frías;0
Fuentes;Santa Fé;Fuentes;0
Funes;Santa Fe;Funes;0
Funes;Santa Fé;Funes;0
G de Laferrere;Buenos Aires;G de Laferrere;0
G. de Laferrere;Buenos Aires;G. de Laferrere;0
Gaiman;Chubut;Gaiman;0
Galvez;Santa Fe;Gálvez;1
Gaona;Salta;Gaona;0
Garré;Buenos Aires;Garré;0
Garupá;Misiones;Garupá;0
Garín;Buenos Aires;Garín;0
Gbdor. Virasoro;Corrientes;Gbdor. Virasoro;0
Gdor. Virasoro;Corrientes;Gdor. Virasoro;0
General Alvarado;Buenos Aires;General Alvarado;0
General Alvear;Buenos Aires;General Alvear;0
General Alvear;Mendoza;General Alvear;0
General Alvear;Buenos Aires;General Alvear;0
General Alvear;Mendoza;General Alvear;0
General Arenales;Buenos Aires;General Arenales;0
General Belgrano;Buenos Aires;General Belgrano;0
General Cabrera;Córdoba;General Cabrera;0
General Campos;Entre Ríos;General Campos;0
General Conesa;Rio Negro;General Conesa;0
General Galarza;Entre Ríos;General Galarza;0
General Güemes;Salta;General Güemes;0
General Las Heras;Buenos Aires;General Las Heras;0
General Las Heras;Santa Cruz;General Las Heras;0
General Madariaga;Buenos Aires;General Madariaga;0
General Mosconi;Salta;General Mosconi;0
General Pacheco;Buenos Aires;General Pacheco;0
General Pico;La Pampa;General Pico;0
General Pinedo;Chaco;General Pinedo;0
General Pinto;Buenos Aires;General Pinto;0
General Ramírez;Entre Ríos;General Ramírez;0
General Roca;Rio Negro;General Roca;0
General Roca;Río Negro;General Roca;0
General Rodríguez;Buenos Aires;General Rodríguez;0
General San Martin;Buenos Aires;General San Martín;1
General San Martín;Buenos Aires;General San Martín;0
General Viamonte;Buenos Aires;General Viamonte;0
General Villegas;Buenos Aires;General Villegas;0
General. Belgrano;Buenos Aires;General Belgrano;1
Glew;Buenos Aires;Glew;0
Gobernador Crespo;Santa Fe;Gobernador Crespo;0
Gobernador Crespo;Santa Fé;Gobernador Crespo;0
Gobernador Gregores;Santa Cruz;Gobernador Gregores;0
Gobernador Virasoro;Corrientes;Gobernador Virasoro;0
Godoy Cruz;Mendoza;Godoy Cruz;0
Gonzales Chaves;Buenos Aires;Gonzales Chaves;0
Gonzales Chávez;Buenos Aires;Gonzales Chávez;0
Gonzalez Catán;Buenos Aires;Gonzalez Catán;0
Gonzáles Chaves;Buenos Aires;Gonzáles Chaves;0
Gonzáles Cháves;Buenos Aires;Gonzáles Cháves;0
González Catán;Buenos Aires;González Catán;0
González Chávez;Buenos Aires;González Chávez;0
Goya;Corrientes;Goya;0
Gral Las Heras;Buenos Aires;Gral Las Heras;0
Gral. Alvarado;Buenos Aires;Gral. Alvarado;0
Gral. Alvear;Buenos Aires;Gral. Alvear;0
Gral. Alvear;Mendoza;Gral. Alvear;0
Gral. Belgrano;Buenos Aires;Gral. Belgrano;0
Gral. Cabrera;Córdoba;Gral. Cabrera;0
Gral. Campos;Entre Ríos;Gral. Campos;0
Gral. Conesa;Río Negro;Gral. Conesa;0
Gral. Deheza;Córdoba;Gral. Deheza;0
Gral. Güemes;Salta;Gral. Güemes;0
Gral. Lamadrid;Buenos Aires;Gral. Lamadrid;0
Gral. Las Heras;Buenos Aires;Gral. Las Heras;0
Gral. Lavalle;Buenos Aires;Gral. Lavalle;0
Gral. Madariaga;Buenos Aires;Gral. Madariaga;0
Gral. Pacheco;Buenos Aires;Gral. Pacheco;0
Gral. Pinedo;Chaco;Gral. Pinedo;0
Gral. Pinto;Buenos Aires;Gral. Pinto;0
Gral. Roca;Río Negro;Gral. Roca;0
Gral. Rodriguez;Buenos Aires;Gral. Rodriguez;0
Gral. Rodríguez;Buenos Aires;Gral. Rodríguez;0
Gral. Rojo;Buenos Aires;Gral. Rojo;0
Gral. San Martín;Buenos Aires;Gral. San Martín;0
Gral. San Martín;Chaco;Gral. San Martín;0
Gral. Villegas;Buenos Aires;Gral. Villegas;0
Granadero Baigorria;Santa Fé;Granadero Baigorria;0
Gregorio de Laferrere;Buenos Aires;Gregorio de Laferrere;0
Gualeguay;Entre Ríos;Gualeguay;0
Gualeguay;Entre Ríos;Gualeguay;0
Gualeguaychú;Entre Ríos;Gualeguaychú;0
Guaminí;Buenos Aires;Guaminí;0
Guatraché;La Pampa ;Guatraché;0
Guaymallén;Mendoza;Guaymallén;0
Guernica;Buenos Aires;Guernica;0
Gálvez;Santa Fe;Gálvez;0
Gálvez;Santa Fé;Gálvez;0
Haedo;Buenos Aires;Haedo;0
Hanguelén;Buenos Aires;Huanguelén;1
Hasenkamp;Entre Ríos;Hasenkamp;0
Helvecia;Santa Fe;Helvecia;0
Henderson;Buenos Aires;Henderson;0
Hernando;Córdoba;Hernando;0
Hersilia;Santa Fé;Hersilia;0
