Ciudad;Provincia
;Capital Federal
;CApital Federal
;Capital Federal
;Capital Federal 
*;*
*;Buenos Aires
*;Capital Federal
*;Corrientes
*;Entre Ríos
*;Formosa
*;Jujuy
*;La Pampa
*;Mendoza
*;Misiones
*;Río Negro
*;Salta
*;Santa Cruz
*;Santa Fe
*;Tierra del Fuego
25 de Mayo;Buenos Aires
28 de Noviembre;Santa Cruz
30 de Agosto;Buenos Aires
9 de Julio;Buenos Aires
Abra Pampa;Jujuy
Acebal;Santa Fe
Achiras;Córdoba
Adelia María;Córdoba
Adrogué;Buenos Aires
Aguas Verdes;Buenos Aires
Aguilares;Tucumán
Aimogasta;La Rioja
Alberti;Buenos Aires
Alcira Gigena;Córdoba
Alcorta;Santa Fe
Alejandro Korn;Buenos Aires
Alejandro Roca;Córdoba
Allen;Río Negro
Almirante Brown;Buenos Aires
Alta Gracia;Córdoba
Alta Italia;La Pampa
Alvarez;Santa Fe
América;Buenos Aires
Ancaloo;Santa Fe
Andalgala;Catamarca
Andalgalá;Catamarca
Angel Etcheverri;Buenos Aires
Angélica;Santa Fe
Anta Hualan ;Catamarca
Apóstoles;Misiones
Arata;La Pampa
Arequito;Santa Fe
Arias;Córdoba
Armstrong;Santa Fe
Arrecifes;Buenos Aires
Arroyito;Córdoba
Arroyo Seco;Santa Fe
Arteaga;Santa Fe
Ascensión;Buenos Aires
Atblo. Del Valle;Misiones
Avellaneda;Buenos Aires
Avellaneda;Santa Fe 
Ayacucho;Buenos Aires
Azul;Buenos Aires
Añatuya;Santiago del Estero
Bahía Blanca;Buenos Aires
Balcarce;Buenos Aires
Balnearia;Córdoba
Banda del rio Sali;Tucumán
Banda del Rio Sali;Tucumán
Banderas;Santiago del Estero
Banfield;Buenos Aires
Baradero;Buenos Aires
Bariloche;Rio Negro
Bariloche;Río Negro
Barrancas;Santa Fe
Barranqueras;Chaco
Barrio Marqués de Sobremonte;Córdoba
Basavilbaso;Entre Ríos
Beccar;Buenos Aires
Belgrano;Santa Fe
Bell Ville;Córdoba
Bella Vista;Buenos Aires
Bella Vista;Chaco
Bella Vista;Corrientes
Belén;Catamarca
Belén de Escobar;Buenos Aires
Benavidez;Buenos Aires
Bengoolea;Córdoba
Benito Juarez;Buenos Aires
Benito Juárez;Buenos Aires
Berazategui;Buenos Aires
Berisso;Buenos Aires
Bernal;Buenos Aires
Berrotarán;Córdoba
Bialet Massé;Córdoba
Bigand;Santa Fe
Billinghurst;Buenos Aires
Blaquier;Buenos Aires
Blgrano;Santa Fe
Bolsón;Rio Negro
Bolívar;Buenos Aires
Bonifacio;Buenos Aires
Bonpland;Corrientes
Bouquet;Santa Fe
Bovril;Entre Ríos
Bowen;Mendoza
Bragado;Buenos Aires
Brandsen;Buenos Aires
Brinckmann;Córdoba
Brinkmann;Córdoba
Buchardo;Córdoba
C de Patagones;Buenos Aires
C L Piedrabuena;Santa Cruz
C. de Patagones;Buenos Aires
Ca. San Bartolomé;Córdoba
Cacharí;Buenos Aires
Cafayate;Salta
Calafate;Santa Cruz
Calamuchita;Córdoba
Calchaqui;Santa Fe
Calchaquí;Santa Fe
Calchaquí;Santa Fe 
Caleta Oliva;Santa Cruz
Caleta Olivia;Santa Cruz
Caleta Olivia;Santa Cruz 
Caleufú;La Pampa
Camarones;Chubut
Campana;Buenos Aires
Campo Grande;Misiones
Campo Largo;Chaco
Campo Viera;Misiones
Canals;Córdoba
Candelaria;Misiones
Canning;Buenos Aires
Capilla del Señor;Buenos Aires
Capiovy;Misiones
Capioví;Misiones
Capitán Bermudez;Santa Fe
Capitán Sarmiento;Buenos Aires
Carapachay;Buenos Aires
Carcaraña;Santa Fe
Carcarañá;Santa Fe
Carhué;Buenos Aires
Cariló;Buenos Aires
Carlos Casares;Buenos Aires
Carlos Pellegrini;Santa Fe
Carlos Pellegrini;Santa Fé
Carlos Tejedor;Buenos Aires
Carmen de Areco;Buenos Aires
Carmen de Patagones;Buenos Aires
Carrodilla;Mendoza
Casbas;Buenos Aires
Caseros;Buenos Aires
Caseros;Entre Ríos
Casilda;Santa Fe
Castelar;Buenos Aires
Castelli;Buenos Aires
Catamarca;Catamarca
Catriel;Rio Negro
Catriló;La Pampa
Caucete;San Juan
Caviahue;Neuquén
Caá Cati;Corrientes
Caá Catí;Corrientes
Cañada de Gómez;Santa Fe
Cañada Rosquín;Santa Fe
Cañada Seca;Buenos Aires
Cañuelas;Buenos Aires
Cdro. Rivadavia;Chubut
Centenario;Neuquén
Ceres;Santa Fe
Cerrito;Entre Ríos
Cerro Azul;Misiones
Cervantes;Río Negro
Chabás;Santa Fe
Chabás;Santa Fé
Chacabuco;Buenos Aires
Chacras de Coria;Mendoza
Chajarí;Entre Ríos
Chaján;Córdoba
Chamical;La Rioja
Charata;Chaco
Charata ;Chaco
Chascomús;Buenos Aires
Chavarría;Corrientes
Chañar Ladeado;Santa Fe
Chepes;La Rioja
Chilecito;La Rioja
Chillar;Buenos Aires
Chivilcoy;Buenos Aires
Choele Choel;Rio Negro
Choele Choel;Río Negro
Chos Malal;Neuquén
Chovet;Santa Fe
Chovet;Santa fe
Chovet;Santa Fe
Cinco Saltos;Río Negro
Cipoletti;Rio Negro
Cipoletti;Río Negro
Cipolletti;Río Negro
Ciudad de Caucete;San Juan
Ciudad de Córdoba;Córdoba
Ciudad E. Madero;Buenos Aires
Ciudadela;Buenos Aires
CL Piedrabuena;Santa Cruz
Claromecó;Buenos Aires
Claypole;Buenos Aires
Clorinda;Formosa
Cnel. Brandsen;Buenos Aires
Cnel. Pringles;Buenos Aires
Cnia. Avellaneda;Entre Ríos
Cnia. Sarmiento;Chubut
Colonia Caroya;Córdoba
Colón;Buenos Aires
Colón;Entre Ríos
Comodoro Rivadavia;Chubut
Concepción  ;Tucumán
Concepción del Bermejo;Chaco
Concepción del Uruguay;Entre Ríos
Concepción del Uruguay;Tucumán
Concordia;Entre Ríos
Confluencia;Corrientes
Coronda;Santa Fe
Coronda;Santa Fé
Coronel Baigorria;Córdoba
Coronel Bustos;Córdoba
Coronel Charlone;Buenos Aires
Coronel Dorrego;Buenos Aires
Coronel Du Graty;Chaco
Coronel Moldes;Córdoba
Coronel Pringles;Buenos Aires
Coronel Suárez;Buenos Aires
Coronel Vidal;Buenos Aires
Corral de Bustos;Córdoba
Corrientes;Corrientes
Corzuela;Chaco
Corzuela ;Chaco
Cosquín;Córdoba
Costa Azul;Buenos Aires
Cplla del Monte;Córdoba
Cplla. Del Monte;Córdoba
Crespo;Entre Ríos
Crpto A Bernardi;Entre Ríos
Cruz;Santa
Cruz Alta;Córdoba
Cruz del Eje;Córdoba
Cuartel V., Moreno;Buenos Aires
Curuzú Cuatiá;Corrientes
Cutral Có;Neuquén
Córdoba;Córdoba
Córdoba;Córdoba 
Daireaux;Buenos Aires
Darregueira;Buenos Aires
Dean Funes;Córdoba
Del Viso;Buenos Aires
Derqui;Buenos Aires
Diamante;Entre Ríos
Difunta Correa;San Juan
Dolavón;Chubut
Dolores;Buenos Aires
Don Torcuato;Buenos Aires
Eduardo Castex;La Pampa
El Bolsón;Rio Negro
El Bolsón;Río Negro
El Calafate;Santa Cruz
El Chalten;Santa Cruz
El Colorado;Formosa
El Dorado;Misiones
El Hoyo;Chubut
El Jagüel;Buenos Aires
El Maitén;Chubut
El Palomar;Buenos Aires
El Pato;Buenos Aires
El Quebrachal;Salta
El Soberbio;Misiones
El Socorro;Buenos Aires
El Tala;Salta
El Talar, Tigre;Buenos Aires
El Trébol;Santa Fe
El Trébol;Santa Fé
Eldorado;Misiones
Elortondo;Santa Fé
Embajador Martini;La Pampa
Embalse;Córdoba
Embarcación;Salta
Emilia;Santa Fe
Empedrado;Corrientes
Ensenada;Buenos Aires
Escobar;Buenos Aires
Esperanza;Santa Fe
Esperanza;Santa Fé
Esquel;Chubut
Esquel ;Chubut
Esquina;Corrientes
Esteban Echeverría;Buenos Aires
Etruria;Córdoba
Eugenio Bustos;Mendoza
Eusebia;Santa Fe
Exaltación de la Cruz;Buenos Aires
Ezeiza;Buenos Aires
Famaila;Tucumán
Famatina;La Rioja
Federación;Entre Ríos
Federal;Entre Ríos
Felipe Solá;Buenos Aires
Fernandez;Santiago del Estero
Fernández Oro;Río Negro
Fiambalá;Catamarca
Firmat;Santa Fe
Firmat;Santa Fé
Florencio Varela;Buenos Aires
Florentino Ameghino;Buenos Aires
Florida;Buenos Aires
Fontana;Chaco
Formosa;Formosa
Fortín Olmos;Santa Fé
Francisco Álvarez;Buenos Aires
Franck;Santa Fé
Fray Luis Beltrán;Santa Fé
Fray M. Esquiu ;Catamarca
Fray Mamerto Esquiú;Catamarca
Fray Mrto. Esquiú;Buenos Aires
Freyre;Córdoba
Frías;Santiago del Estero
