departamento_nombre,localidad_censal_nombre,municipio_nombre,provincia_nombre
Adolfo Gonzales Chaves,                      ,Adolfo Gonzales Chaves,Buenos Aires
Adolfo Gonzales Chaves,                      ,Adolfo Gonzales Chaves,Buenos Aires
Adolfo Gonzales Chaves,                      ,Adolfo Gonzales Chaves,Buenos Aires
Adolfo Gonzales Chaves,                      ,Adolfo Gonzales Chaves,Buenos Aires
Adolfo Gonzales Chaves,                      ,Adolfo Gonzales Chaves,Buenos Aires
Adolfo Gonzales Chaves,                      ,Adolfo Gonzales Chaves,Buenos Aires
Adolfo Gonzales Chaves,                      ,Adolfo Gonzales Chaves,Buenos Aires
Adolfo Gonzales Chaves,                      ,Adolfo Gonzales Chaves,Buenos Aires
Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,Buenos Aires
Adolfo Gonzales Chaves,De La Garma           ,Adolfo Gonzales Chaves,Buenos Aires
Adolfo Gonzales Chaves,Juan E. Barra         ,Adolfo Gonzales Chaves,Buenos Aires
Adolfo Gonzales Chaves,Vásquez               ,Adolfo Gonzales Chaves,Buenos Aires
Alberti               ,                      ,Alberti               ,Buenos Aires
Alberti               ,                      ,Alberti               ,Buenos Aires
Alberti               ,                      ,Alberti               ,Buenos Aires
Alberti               ,                      ,Alberti               ,Buenos Aires
Alberti               ,                      ,Alberti               ,Buenos Aires
Alberti               ,                      ,Alberti               ,Buenos Aires
Alberti               ,Alberti               ,Alberti               ,Buenos Aires
Alberti               ,Coronel Seguí         ,Alberti               ,Buenos Aires
Alberti               ,Mechita               ,Alberti               ,Buenos Aires
Alberti               ,Pla                   ,Alberti               ,Buenos Aires
Alberti               ,Villa Grisolía        ,Alberti               ,Buenos Aires
Alberti               ,Villa María           ,Alberti               ,Buenos Aires
Alberti               ,Villa Ortiz           ,Alberti               ,Buenos Aires
Almirante Brown       ,Almirante Brown       ,Almirante Brown       ,Buenos Aires
Almirante Brown       ,Almirante Brown       ,Almirante Brown       ,Buenos Aires
Almirante Brown       ,Almirante Brown       ,Almirante Brown       ,Buenos Aires
Almirante Brown       ,Almirante Brown       ,Almirante Brown       ,Buenos Aires
Almirante Brown       ,Almirante Brown       ,Almirante Brown       ,Buenos Aires
Almirante Brown       ,Almirante Brown       ,Almirante Brown       ,Buenos Aires
Almirante Brown       ,Almirante Brown       ,Almirante Brown       ,Buenos Aires
Almirante Brown       ,Almirante Brown       ,Almirante Brown       ,Buenos Aires
Almirante Brown       ,Almirante Brown       ,Almirante Brown       ,Buenos Aires
Almirante Brown       ,Almirante Brown       ,Almirante Brown       ,Buenos Aires
Almirante Brown       ,Almirante Brown       ,Almirante Brown       ,Buenos Aires
Almirante Brown       ,Almirante Brown       ,Almirante Brown       ,Buenos Aires
Avellaneda            ,Avellaneda            ,Avellaneda            ,Buenos Aires
Avellaneda            ,Avellaneda            ,Avellaneda            ,Buenos Aires
Avellaneda            ,Avellaneda            ,Avellaneda            ,Buenos Aires
Avellaneda            ,Avellaneda            ,Avellaneda            ,Buenos Aires
Avellaneda            ,Avellaneda            ,Avellaneda            ,Buenos Aires
Avellaneda            ,Avellaneda            ,Avellaneda            ,Buenos Aires
Avellaneda            ,Avellaneda            ,Avellaneda            ,Buenos Aires
Avellaneda            ,Avellaneda            ,Avellaneda            ,Buenos Aires
Avellaneda            ,Avellaneda            ,Avellaneda            ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,                      ,Ayacucho              ,Buenos Aires
Ayacucho              ,Ayacucho              ,Ayacucho              ,Buenos Aires
Ayacucho              ,La Constancia         ,Ayacucho              ,Buenos Aires
Ayacucho              ,Solanet               ,Ayacucho              ,Buenos Aires
Ayacucho              ,Udaquiola             ,Ayacucho              ,Buenos Aires
Azul                  ,                      ,Azul                  ,Buenos Aires
