Ciudad;Provincia;match;measure value;match_1;measure value_1
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Don Torcuato;Buenos Aires;;;Don Torcuato;0
Talar de Pacheco;Buenos Aires;;;Talar de Pacheco;0
General Pacheco;Buenos Aires;;;General Pacheco;0
Derqui;Buenos Aires;;;Derqui;0
Derqui;Buenos Aires;;;Derqui;0
Del Viso;Buenos Aires;;;Del Viso;0
Necochea;Buenos Aires;;;Necochea;0
Adrogu�;Buenos Aires;;;Adrogué;1
Bol�var;Buenos Aires;;;Bolívar;1
Bol�var;Buenos Aires;;;Bolívar;1
Bol�var;Buenos Aires;;;Bolívar;1
Bol�var;Buenos Aires;;;Bolívar;1
Brandsen;Buenos Aires;;;Brandsen;0
Brandsen;Buenos Aires;;;Brandsen;0
Brandsen;Buenos Aires;;;Brandsen;0
Carapachay;Buenos Aires;;;Carapachay;0
Carapachay;Buenos Aires;;;Carapachay;0
General Madariaga;Buenos Aires;;;General Madariaga;0
General Viamonte;Buenos Aires;;;General Viamonte;0
Gonz�lez Ch�vez;Buenos Aires;;;González Chávez;2
Gonz�les Ch�ves;Buenos Aires;;;Gonzáles Cháves;2
Mar de Aj�;Buenos Aires;;;Mar de Ajó;1
Mar de Aj�;Buenos Aires;;;Mar de Ajó;1
Mar de las Pampas;Buenos Aires;;;Mar de las Pampas;0
Mar de las Pampas;Buenos Aires;;;Mar de las Pampas;0
Mar del Tuy�;Buenos Aires;;;Mar del Tuyú;1
Mart�nez;Buenos Aires;;;Martínez;1
Necochea;Buenos Aires;;;Necochea;0
Necochea;Buenos Aires;;;Necochea;0
Necochea;Buenos Aires;;;Necochea;0
Necochea;Buenos Aires;;;Necochea;0
Necochea;Buenos Aires;;;Necochea;0
Necochea;Buenos Aires;;;Necochea;0
Necochea;Buenos Aires;;;Necochea;0
Necochea;Buenos Aires;;;Necochea;0
Necochea;Buenos Aires;;;Necochea;0
Rafael Castillo;Buenos Aires;;;Rafael Castillo;0
Ramos Mej�a;Buenos Aires;;;Ramos Mejía;1
Sarand�;Buenos Aires;;;Sarandí;1
Sarand�;Buenos Aires;;;Sarandí;1
Catamarca;Catamarca;;;Catamarca;0
Catamarca;Catamarca;;;Catamarca;0
Roque S. Pe�a;Chaco;;;Roque S. Peña;1
Roque S. Pe�a;Chaco;;;Roque S. Peña;1
Roque S. Pe�a;Chaco;;;Roque S. Peña;1
Roque S. Pe�a;Chaco;;;Roque S. Peña;1
Roque Saenz Pe�a;Chaco;;;Roque Saenz Peña;1
Calamuchita;C�rdoba;;;Calamuchita;0
Calamuchita;C�rdoba;;;Calamuchita;0
Calamuchita;C�rdoba;;;Calamuchita;0
Reducci�n;C�rdoba;;;Reducción;1
Sierras de C�rdoba;C�rdoba;;;Sierras de Córdoba;1
Confluencia;Corrientes;;;Confluencia;0
Iguaz�;Misiones;;;Iguazú;1
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Bariloche;R�o Negro;;;Bariloche;0
Met�n;Salta;;;Metán;1
Met�n;Salta;;;Metán;1
R�o Turbio;Santa Cruz;;;Río Turbio;1
Yerba Buena;Tucum�n;;;Yerba Buena;0
R�o Hondo;Santiago del Estero;;;Río Hondo;1
R�o Hondo;Santiago del Estero;;;Río Hondo;1
R�o Hondo;Santiago del Estero;;;Río Hondo;1
Roque S. Pe�a;Chaco;;;Roque S. Peña;1
Carapachay;Buenos Aires;;;Carapachay;0
Francisco �lvarez;Buenos Aires;;;Francisco Álvarez;1
Bariloche;R�o Negro;;;Bariloche;0
Bols�n;Rio Negro;;;Bolsón;1
J�chal;San Juan;;;Jáchal;1
Bols�n;Rio Negro;;;Bolsón;1
Gonz�les Chaves;Buenos Aires;;;Gonzáles Cháves;2
Adrogu�;Buenos Aires;;;Adrogué;1
Gral. Pacheco;Buenos Aires;;;Gral. Pacheco;0
Adrogu�;Buenos Aires;;;Adrogué;1
Adrogu�;Buenos Aires;;;Adrogué;1
Adrogu�;Buenos Aires;;;Adrogué;1
Adrogu�;Buenos Aires;;;Adrogué;1
Adrogu�;Buenos Aires;;;Adrogué;1
Adrogu�;Buenos Aires;;;Adrogué;1
Adrogu�;Buenos Aires;;;Adrogué;1
Adrogu�;Buenos Aires;;;Adrogué;1
Adrogu�;Buenos Aires;;;Adrogué;1
J. B. Alberdi;Buenos Aires;;;J. B. Alberdi;0
El Palomar;Buenos Aires;;;El Palomar;0
Monte Grande;Buenos Aires;;;Monte Grande;0
G de Laferrere;Buenos Aires;;;G. de Laferrere;1
Claypole;Buenos Aires;;;Claypole;0
Necochea;Buenos Aires;;;Necochea;0
Monte Grande;Buenos Aires;;;Monte Grande;0
Tapiales;Buenos Aires;;;Tapiales;0
Ciudadela;Buenos Aires;;;Ciudadela;0
Los Polvorines;Buenos Aires;;;Los Polvorines;0
G. de Laferrere;Buenos Aires;;;G. de Laferrere;0
Longchamps;Buenos Aires;;;Longchamps;0
Luis Guillon;Buenos Aires;;;Luis Guillon;0
Temperley;Buenos Aires;;;Temperley;0
Isidro Casanova;Buenos Aires;;;Isidro Casanova;0
R de Escalada;Buenos Aires;;;R de Escalada;0
Monte Grande;Buenos Aires;;;Monte Grande;0
Temperley;Buenos Aires;;;Temperley;0
Canning;Buenos Aires;;;Canning;0
San Fco. Solano;Buenos Aires;;;San Fco. Solano;0
Necochea;Buenos Aires;;;Necochea;0
Gral. Alvear;Buenos Aires;;;Gral. Alvear;0
Necochea;Buenos Aires;;;Necochea;0
Claypole;Buenos Aires;;;Claypole;0
Gral. Rodriguez;Buenos Aires;;;Gral. Rodríguez;1
La Dulce;Buenos Aires;;;La Dulce;0
Gral. Pinto;Buenos Aires;;;Gral. Pinto;0
Talar de Pacheco;Buenos Aires;;;Talar de Pacheco;0
S. de los Padres;Buenos Aires;;;S. de los Padres;0
Necochea;Buenos Aires;;;Necochea;0
Glew;Buenos Aires;;;Glew;0
Lucila del Mar;Buenos Aires;;;Lucila del Mar;0
Alejandro Korn;Buenos Aires;;;Alejandro Korn;0
Longchamps;Buenos Aires;;;Longchamps;0
G. de Laferrere;Buenos Aires;;;G. de Laferrere;0
Aguas Verdes;Buenos Aires;;;Aguas Verdes;0
Gral. Las Heras;Buenos Aires;;;Gral. Las Heras;0
S. de la Ventana;Buenos Aires;;;S. de la Ventana;0
Angel Etcheverri;Buenos Aires;;;Angel Etcheverri;0
Benavidez;Buenos Aires;;;Benavidez;0
Beccar;Buenos Aires;;;Beccar;0
Necochea;Buenos Aires;;;Necochea;0
Gral. Rodr�guez;Buenos Aires;;;Gral. Rodríguez;1
Temperley;Buenos Aires;;;Temperley;0
Bol�var;Buenos Aires;;;Bolívar;1
N. de la Riestra;Buenos Aires;;;N. de la Riestra;0
Don Torcuato;Buenos Aires;;;Don Torcuato;0
Rafael Castillo;Buenos Aires;;;Rafael Castillo;0
Temperley;Buenos Aires;;;Temperley;0
Bol�var;Buenos Aires;;;Bolívar;1
Mar de Aj�;Buenos Aires;;;Mar de Ajó;1
Claypole;Buenos Aires;;;Claypole;0
G. de Laferrere;Buenos Aires;;;G. de Laferrere;0
Don Torcuato;Buenos Aires;;;Don Torcuato;0
Gral. Villegas;Buenos Aires;;;Gral. Villegas;0
J. B. Alberdi;Buenos Aires;;;J. B. Alberdi;0
Mart�nez;Buenos Aires;;;Martínez;1
Mar de las Pampas;Buenos Aires;;;Mar de las Pampas;0
Gral. Lavalle;Buenos Aires;;;Gral. Lavalle;0
Canning;Buenos Aires;;;Canning;0
Munro;Buenos Aires;;;Munro;0
Villa Dominico;Buenos Aires;;;Villa Dominico;0
Gral. Rodriguez;Buenos Aires;;;Gral. Rodríguez;1
Bel�n de Escobar;Buenos Aires;;;Belén de Escobar;1
Monte Grande;Buenos Aires;;;Monte Grande;0
S. Clara del Mar;Buenos Aires;;;S. Clara del Mar;0
Benavidez;Buenos Aires;;;Benavidez;0
Claypole;Buenos Aires;;;Claypole;0
Lomas del Mirador;Buenos Aires;;;Lomas del Mirador;0
Mar de Aj�;Buenos Aires;;;Mar de Ajó;1
Don Torcuato;Buenos Aires;;;Don Torcuato;0
Necochea;Buenos Aires;;;Necochea;0
Claypole;Buenos Aires;;;Claypole;0
Gral. Lavalle;Buenos Aires;;;Gral. Lavalle;0
C de Patagones;Buenos Aires;;;C. de Patagones;1
Brandsen;Buenos Aires;;;Brandsen;0
Ramos Mej�a;Buenos Aires;;;Ramos Mejía;1
Mar de Aj�;Buenos Aires;;;Mar de Ajó;1
C. de Patagones;Buenos Aires;;;C. de Patagones;0
Isidro Casanova;Buenos Aires;;;Isidro Casanova;0
Billinghurst;Buenos Aires;;;Billinghurst;0
Gral. Rodriguez;Buenos Aires;;;Gral. Rodríguez;1
Mart�nez;Buenos Aires;;;Martínez;1
Gral. Villegas;Buenos Aires;;;Gral. Villegas;0
Villa Dominico;Buenos Aires;;;Villa Dominico;0
Necochea;Buenos Aires;;;Necochea;0
Monte Grande;Buenos Aires;;;Monte Grande;0
Loma Hermosa;Buenos Aires;;;Loma Hermosa;0
Necochea;Buenos Aires;;;Necochea;0
Pontevedra;Buenos Aires;;;Pontevedra;0
Munro;Buenos Aires;;;Munro;0
Gral. Lamadrid;Buenos Aires;;;Gral. Lamadrid;0
Bonifacio;Buenos Aires;;;Bonifacio;0
Fray Mrto. Esqui�;Buenos Aires;;;Fray Mrto. Esquiú;1
Pablo Nogu�s;Buenos Aires;;;Pablo Nogués;1
Necochea;Buenos Aires;;;Necochea;0
J�uregui;Buenos Aires;;;Jáuregui;1
Rafael Calzada;Buenos Aires;;;Rafael Calzada;0
San A. de Areco;Buenos Aires;;;San A. de Areco;0
Gral. Rodriguez;Buenos Aires;;;Gral. Rodríguez;1
Banfield;Buenos Aires;;;Banfield;0
Gral. Villegas;Buenos Aires;;;Gral. Villegas;0
Martinez de Hoz;Buenos Aires;;;Martinez de Hoz;0
Villa Bosch;Buenos Aires;;;Villa Bosch;0
Ramos Mej�a;Buenos Aires;;;Ramos Mejía;1
El Socorro;Buenos Aires;;;El Socorro;0
Necochea;Buenos Aires;;;Necochea;0
Sarand�;Buenos Aires;;;Sarandí;1
Necochea;Buenos Aires;;;Necochea;0
N. de la Riestra;Buenos Aires;;;N. de la Riestra;0
Isidro Casanova;Buenos Aires;;;Isidro Casanova;0
Gral. Madariaga;Buenos Aires;;;Gral. Madariaga;0
Virreyes;Buenos Aires;;;Virreyes;0
Temperley;Buenos Aires;;;Temperley;0
Gonzales Chaves;Buenos Aires;;;Gonzales Chávez;2
La Dulce;Buenos Aires;;;La Dulce;0
Gonzales Chaves;Buenos Aires;;;Gonzales Chávez;2
Bel�n de Escobar;Buenos Aires;;;Belén de Escobar;1
Necochea;Buenos Aires;;;Necochea;0
Gral. Pacheco;Buenos Aires;;;Gral. Pacheco;0
Monte Grande;Buenos Aires;;;Monte Grande;0
Necochea;Buenos Aires;;;Necochea;0
Bol�var;Buenos Aires;;;Bolívar;1
Puerto Belgrano;Buenos Aires;;;Puerto Belgrano;0
Gonzalez Cat�n;Buenos Aires;;;González Catán;2
Mart�nez;Buenos Aires;;;Martínez;1
Temperley;Buenos Aires;;;Temperley;0
Gral. Lamadrid;Buenos Aires;;;Gral. Lamadrid;0
Gral. Lamadrid;Buenos Aires;;;Gral. Lamadrid;0
Temperley;Buenos Aires;;;Temperley;0
C. de Patagones;Buenos Aires;;;C. de Patagones;0
Gral Las Heras;Buenos Aires;;;Gral Las Heras;0
G. de Laferrere;Buenos Aires;;;G. de Laferrere;0
N. de la Riestra;Buenos Aires;;;N. de la Riestra;0
S. Clara del Mar;Buenos Aires;;;S. Clara del Mar;0
S. Clara del Mar;Buenos Aires;;;S. Clara del Mar;0
