Ciudad;Provincia;match;measure value
*;Santa Fe;;
*;Buenos Aires;;
*;Tierra del Fuego;;
*;Santa Fe;;
*;Buenos Aires;;
*;Buenos Aires;;
*;Santa Fe;;
*;Santa Fe;;
*;Tierra del Fuego;;
*;Buenos Aires;;
*;Buenos Aires;;
*;Buenos Aires;;
*;Santa Fe;;
*;*;;
*;*;;
*;R�o Negro;;
*;*;;
*;*;;
*;Misiones;;
*;La Pampa;;
*;*;;
*;*;;
*;Capital Federal;;
*;Santa Fe;;
*;Corrientes;;
*;Formosa;;
*;La Pampa;;
*;Mendoza;;
*;Formosa;;
*;Jujuy;;
*;Entre R�os;;
*;Jujuy;;
*;Formosa;;
*;Jujuy;;
*;Formosa;;
*;Jujuy;;
*;La Pampa;;
*;Jujuy;;
*;La Pampa;;
*;Santa Cruz;;
*;Buenos Aires;;
*;Salta;;
*;*;;
*;*;;
*;*;;
*;*;;
