Ciudad;Provincia;matched_ciudad;measure value
;Capital Federal;;
;CApital Federal;;
;Capital Federal;;
;Capital Federal ;;
*;*;;
*;Buenos Aires;;
*;Capital Federal;;
*;Corrientes;;
*;Entre Ríos;;
*;Formosa;;
*;Jujuy;;
*;La Pampa;;
*;Mendoza;;
*;Misiones;;
*;Río Negro;;
*;Salta;;
*;Santa Cruz;;
*;Santa Fe;;
*;Tierra del Fuego;;
Adrogué;Buenos Aires;;
Aguas Verdes;Buenos Aires;;
Alejandro Korn;Buenos Aires;;
Ancaloo;Santa Fe;;
Angel Etcheverri;Buenos Aires;;
Anta Hualan ;Catamarca;;
Atblo. Del Valle;Misiones;;
Banfield;Buenos Aires;;
Bariloche;Rio Negro;;
Bariloche;Río Negro;;
Barrio Marqués de Sobremonte;Córdoba;;
Beccar;Buenos Aires;;
Belgrano;Santa Fe;;
Belén de Escobar;Buenos Aires;;
Benavidez;Buenos Aires;;
Billinghurst;Buenos Aires;;
Blgrano;Santa Fe;;
Bolívar;Buenos Aires;;
Bonifacio;Buenos Aires;;
Brandsen;Buenos Aires;;
Buchardo;Córdoba;;
C de Patagones;Buenos Aires;;
C L Piedrabuena;Santa Cruz;;
C. de Patagones;Buenos Aires;;
Ca. San Bartolomé;Córdoba;;
Calamuchita;Córdoba;;
Canning;Buenos Aires;;
Carapachay;Buenos Aires;;
Carrodilla;Mendoza;;
Catamarca;Catamarca;;
Caá Cati;Corrientes;;
Caá Catí;Corrientes;;
Cdro. Rivadavia;Chubut;;
Chacras de Coria;Mendoza;;
Ciudad de Caucete;San Juan;;
Ciudad de Córdoba;Córdoba;;
Ciudad E. Madero;Buenos Aires;;
Ciudadela;Buenos Aires;;
CL Piedrabuena;Santa Cruz;;
Claypole;Buenos Aires;;
Cnel. Brandsen;Buenos Aires;;
Cnel. Pringles;Buenos Aires;;
Cnia. Avellaneda;Entre Ríos;;
Cnia. Sarmiento;Chubut;;
Confluencia;Corrientes;;
Coronel Bustos;Córdoba;;
Cplla. Del Monte;Córdoba;;
Crpto A Bernardi;Entre Ríos;;
Cruz;Santa;;
Cuartel V., Moreno;Buenos Aires;;
Del Viso;Buenos Aires;;
Derqui;Buenos Aires;;
Difunta Correa;San Juan;;
Don Torcuato;Buenos Aires;;
El Jagüel;Buenos Aires;;
El Palomar;Buenos Aires;;
El Socorro;Buenos Aires;;
El Talar, Tigre;Buenos Aires;;
Eusebia;Santa Fe;;
Exaltación de la Cruz;Buenos Aires;;
Fernández Oro;Río Negro;;
Francisco Álvarez;Buenos Aires;;
Fray M. Esquiu ;Catamarca;;
Fray Mamerto Esquiú;Catamarca;;
Fray Mrto. Esquiú;Buenos Aires;;
G de Laferrere;Buenos Aires;;
G. de Laferrere;Buenos Aires;;
Gbdor. Virasoro;Corrientes;;
Gdor. Virasoro;Corrientes;;
General Alvarado;Buenos Aires;;
General Madariaga;Buenos Aires;;
General Pacheco ;Buenos Aires;;
General Viamonte;Buenos Aires;;
Glew;Buenos Aires;;
Gobernador Virasoro;Corrientes;;
Gonzales Chaves;Buenos Aires;;
Gonzales Chávez;Buenos Aires;;
Gonzalez Catán;Buenos Aires;;
Gonzáles Chaves;Buenos Aires;;
Gonzáles Cháves;Buenos Aires;;
González Catán;Buenos Aires;;
González Chávez;Buenos Aires;;
Gral Las Heras;Buenos Aires;;
Gral. Alvarado;Buenos Aires;;
Gral. Alvear;Buenos Aires;;
Gral. Alvear;Mendoza;;
Gral. Belgrano;Buenos Aires;;
Gral. Cabrera;Córdoba;;
Gral. Campos;Entre Ríos;;
Gral. Conesa;Río Negro;;
Gral. Deheza;Córdoba;;
Gral. Güemes;Salta;;
Gral. Lamadrid;Buenos Aires;;
Gral. Las Heras;Buenos Aires;;
Gral. Lavalle;Buenos Aires;;
Gral. Madariaga;Buenos Aires;;
Gral. Pacheco;Buenos Aires;;
Gral. Pinedo;Chaco;;
Gral. Pinto;Buenos Aires;;
Gral. Roca;Río Negro;;
Gral. Rodriguez;Buenos Aires;;
Gral. Rodríguez;Buenos Aires;;
Gral. Rojo;Buenos Aires;;
Gral. San Martín;Buenos Aires;;
Gral. San Martín;Chaco;;
Gral. Villegas;Buenos Aires;;
Gregorio de Laferrere;Buenos Aires;;
Iguazú;Misiones;;
Ing Huergo;Rio Negro;;
Ing Jacobacci;Rio Negro;;
Isidro Casanova;Buenos Aires;;
Isidro Casanova, La Matanza;Buenos Aires;;
J. B. Alberdi;Buenos Aires;;
J. de San Martín;Chubut;;
José Ingeniero;Buenos Aires;;
José Ingenieros;Buenos Aires;;
José León Suárez;Buenos Aires;;
Jovita;Córdoba;;
Juan J Castelli;Chaco;;
Juan J. Castelli;Chaco;;
JuanJ. Castelli;Chaco;;
Jáchal;San Juan;;
Jáuregui;Buenos Aires;;
La Dulce;Buenos Aires;;
Laguna Naineck;Formosa;;
Lanús Oeste;Buenos Aires;;
Las Tejas del Valle Viejo;Catamarca;;
Lib. Gral San Martín;Entre Ríos;;
Lib. Gral San Martín;Jujuy;;
Lib. Gral. San Martín;Jujuy;;
Libertador Gral San Martín;Juuy;;
Libertador Gral. San Martín;Jujuy;;
Llavallol;Buenos Aires;;
Loma Hermosa;Buenos Aires;;
Lomas del Mirador;Buenos Aires;;
Longchamps;Buenos Aires;;
Los Polvorines;Buenos Aires;;
Lucila del Mar;Buenos Aires;;
Luis Guillon;Buenos Aires;;
Mar de Ajó;Buenos Aires;;
Mar de las Pampas;Buenos Aires;;
Mar del Tuyú;Buenos Aires;;
Martinez de Hoz;Buenos Aires;;
Martín Coronado;Buenos Aires;;
Martínez;Buenos Aires;;
Martínez, San Isidro;Buenos Aires;;
Mayor Vicente E. Villafañe;Formosa;;
Monte Grande;Buenos Aires;;
Monte Grande  ;Buenos Aires;;
Monte Grande, E. Echeverría;Buenos Aires;;
Munro;Buenos Aires;;
Munro, Vicente Lopez;Buenos Aires;;
Música;Chubut;;
N. de la Riestra;Buenos Aires;;
Necochea;Buenos Aires;;
O´Brien;Buenos Aires;;
Pablo Nogués;Buenos Aires;;
Pablo Podestá;Buenos Aires;;
Palmira;Mendoza;;
Paso del Rey;Buenos Aires;;
Pcia. de la Plaza;Chaco;;
Perico del Carmen;Jujuy;;
Pontevedra;Buenos Aires;;
Ppa. del Infierno;Chaco;;
Presidencia Roque Peña;Chaco;;
Pte. R. Sáenz Peña;Chaco;;
Pte. Roque Sáenz Peña;Chaco;;
Puerto Belgrano;Buenos Aires;;
Puerto Gral San Martín;Sana Fe;;
Puerto Gral San Martín;Santa Fe;;
Puerto Rosales;Buenos Aires;;
R de Escalada;Buenos Aires;;
Rafael Calzada;Buenos Aires;;
Rafael Castillo;Buenos Aires;;
Ramos Mejía;Buenos Aires;;
Ramírez;Entre Ríos;;
Reducción;Córdoba;;
Remedios de Escalada;Buenos Aires;;
Rio Grande Drios;Tierra del Fuego;;
Rodeo de la Cruz;Mendoza;;
Roque S. Peña;Chaco;;
Roque Saenz Peña;Chaco;;
Río Hondo;Santiago del Estero;;
Río Turbio;Santa Cruz;;
S Clara de Buena Vista;Santa Fe;;
S Ramon Nva Orán;Salta;;
S. Clara del Mar;Buenos Aires;;
S. de la Ventana;Buenos Aires;;
S. de los Padres;Buenos Aires;;
Saenz Peña;Chaco;;
San A. de Areco;Buenos Aires;;
San Antonio de Padua;Buenos Aires;;
San Fco. Solano;Buenos Aires;;
San Francisco Solano;Buenos Aires;;
San Isidro de Lules;Tucumán;;
San Isidro, Vicente López y otros;Buenos Aires;;
San L del Palmar;Corrientes;;
Santa Fe de la Veracruz;Santa Fe;;
Sarandí;Buenos Aires;;
Sierras de Córdoba;Córdoba;;
Sn José de Metán;Salta;;
SR Calamuchita;Córdoba;;
Sta. Rosa de Calamuchita;Córdoba;;
Stefenelli;Río Negro;;
Strobel;Entre Ríos;;
Talar de Pacheco;Buenos Aires;;
Tapiales;Buenos Aires;;
Temperley;Buenos Aires;;
Termas Rio Hondo;Santiago del Estero;;
Tiro Federal;Entre Ríos;;
Tortuguitas;Buenos Aires;;
Trancas;Tucumán;;
Tristán Suárez;Buenos Aires;;
Va. Cura Brochero;Córdoba;;
Va. Gral. Belgrano;Córdoba;;
Valentín Alsina;Buenos Aires;;
Villa Ballester;Buenos Aires;;
Villa Bosch;Buenos Aires;;
Villa de Merlo;San Juan;;
Villa de Merlo;San Luis;;
Villa Dominico;Buenos Aires;;
Villa Gdor Gálvez;Santa Fe;;
Villa Gral. Belgrano;Córdoba;;
Villa Krause;San Juan;;
Villa Luzuriaga, La Matanza;Buenos Aires;;
Villa Lynch;Buenos Aires;;
Villa Maipú;Buenos Aires;;
Villa Nueva de Guaymallén;Mendoza;;
Villa Sáenz Peña;Buenos Aires;;
