departamento_nombre,localidad_censal_nombre,municipio_nombre,provincia_nombre
Alberti        ,Alberti               ,Alberti        ,Buenos Aires
Alberti        ,Coronel Seguí         ,Alberti        ,Buenos Aires
Alberti        ,Mechita               ,Alberti        ,Buenos Aires
Alberti        ,Pla                   ,Alberti        ,Buenos Aires
Alberti        ,Villa Grisolía        ,Alberti        ,Buenos Aires
Alberti        ,Villa María           ,Alberti        ,Buenos Aires
Alberti        ,Villa Ortiz           ,Alberti        ,Buenos Aires
Almirante Brown,Almirante Brown       ,Almirante Brown,Buenos Aires
Almirante Brown,Almirante Brown       ,Almirante Brown,Buenos Aires
Almirante Brown,Almirante Brown       ,Almirante Brown,Buenos Aires
Almirante Brown,Almirante Brown       ,Almirante Brown,Buenos Aires
Almirante Brown,Almirante Brown       ,Almirante Brown,Buenos Aires
Almirante Brown,Almirante Brown       ,Almirante Brown,Buenos Aires
Almirante Brown,Almirante Brown       ,Almirante Brown,Buenos Aires
Almirante Brown,Almirante Brown       ,Almirante Brown,Buenos Aires
Almirante Brown,Almirante Brown       ,Almirante Brown,Buenos Aires
Almirante Brown,Almirante Brown       ,Almirante Brown,Buenos Aires
Almirante Brown,Almirante Brown       ,Almirante Brown,Buenos Aires
Almirante Brown,Almirante Brown       ,Almirante Brown,Buenos Aires
Avellaneda     ,Avellaneda            ,Avellaneda     ,Buenos Aires
Avellaneda     ,Avellaneda            ,Avellaneda     ,Buenos Aires
Avellaneda     ,Avellaneda            ,Avellaneda     ,Buenos Aires
Avellaneda     ,Avellaneda            ,Avellaneda     ,Buenos Aires
Avellaneda     ,Avellaneda            ,Avellaneda     ,Buenos Aires
Avellaneda     ,Avellaneda            ,Avellaneda     ,Buenos Aires
Avellaneda     ,Avellaneda            ,Avellaneda     ,Buenos Aires
Avellaneda     ,Avellaneda            ,Avellaneda     ,Buenos Aires
Avellaneda     ,Avellaneda            ,Avellaneda     ,Buenos Aires
Ayacucho       ,Ayacucho              ,Ayacucho       ,Buenos Aires
Ayacucho       ,La Constancia         ,Ayacucho       ,Buenos Aires
Ayacucho       ,Solanet               ,Ayacucho       ,Buenos Aires
Ayacucho       ,Udaquiola             ,Ayacucho       ,Buenos Aires
Azul           ,Ariel                 ,Azul           ,Buenos Aires
Azul           ,Azul                  ,Azul           ,Buenos Aires
Azul           ,Cacharí               ,Azul           ,Buenos Aires
Azul           ,Chillar               ,Azul           ,Buenos Aires
Azul           ,16 de Julio           ,Azul           ,Buenos Aires
Bahía Blanca   ,Bahía Blanca          ,Bahía Blanca   ,Buenos Aires
Bahía Blanca   ,Bahía Blanca          ,Bahía Blanca   ,Buenos Aires
Bahía Blanca   ,Bahía Blanca          ,Bahía Blanca   ,Buenos Aires
Bahía Blanca   ,Bahía Blanca          ,Bahía Blanca   ,Buenos Aires
Bahía Blanca   ,Bahía Blanca          ,Bahía Blanca   ,Buenos Aires
Bahía Blanca   ,Cabildo               ,Bahía Blanca   ,Buenos Aires
Bahía Blanca   ,General Daniel Cerri  ,Bahía Blanca   ,Buenos Aires
Balcarce       ,Balcarce              ,Balcarce       ,Buenos Aires
Balcarce       ,Los Pinos             ,Balcarce       ,Buenos Aires
Balcarce       ,Napaleofú             ,Balcarce       ,Buenos Aires
Balcarce       ,Ramos Otero           ,Balcarce       ,Buenos Aires
Balcarce       ,San Agustín           ,Balcarce       ,Buenos Aires
Balcarce       ,Villa Laguna La Brava ,Balcarce       ,Buenos Aires
Baradero       ,Baradero              ,Baradero       ,Buenos Aires
Baradero       ,Irineo Portela        ,Baradero       ,Buenos Aires
Baradero       ,Santa Coloma          ,Baradero       ,Buenos Aires
Baradero       ,Villa Alsina          ,Baradero       ,Buenos Aires
Arrecifes      ,Arrecifes             ,Arrecifes      ,Buenos Aires
Arrecifes      ,Todd                  ,Arrecifes      ,Buenos Aires
Arrecifes      ,Viña                  ,Arrecifes      ,Buenos Aires
Benito Juárez  ,Barker                ,Benito Juárez  ,Buenos Aires
Benito Juárez  ,Benito Juárez         ,Benito Juárez  ,Buenos Aires
Benito Juárez  ,López                 ,Benito Juárez  ,Buenos Aires
Benito Juárez  ,Tedín Uriburu         ,Benito Juárez  ,Buenos Aires
Benito Juárez  ,Villa Cacique         ,Benito Juárez  ,Buenos Aires
Berazategui    ,Berazategui           ,Berazategui    ,Buenos Aires
Berazategui    ,Berazategui           ,Berazategui    ,Buenos Aires
Berazategui    ,Berazategui           ,Berazategui    ,Buenos Aires
Berazategui    ,Berazategui           ,Berazategui    ,Buenos Aires
Berazategui    ,Berazategui           ,Berazategui    ,Buenos Aires
Berazategui    ,Berazategui           ,Berazategui    ,Buenos Aires
Berazategui    ,Berazategui           ,Berazategui    ,Buenos Aires
Berazategui    ,Berazategui           ,Berazategui    ,Buenos Aires
Berazategui    ,Berazategui           ,Berazategui    ,Buenos Aires
Berazategui    ,Berazategui           ,Berazategui    ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Berisso        ,Berisso               ,Berisso        ,Buenos Aires
Bolívar        ,Hale                  ,Bolívar        ,Buenos Aires
Bolívar        ,Juan F. Ibarra        ,Bolívar        ,Buenos Aires
Bolívar        ,Paula                 ,Bolívar        ,Buenos Aires
Bolívar        ,Pirovano              ,Bolívar        ,Buenos Aires
Bolívar        ,San Carlos de Bolívar ,Bolívar        ,Buenos Aires
Bolívar        ,Urdampilleta          ,Bolívar        ,Buenos Aires
Bolívar        ,Villa Lynch Pueyrredón,Bolívar        ,Buenos Aires
Bragado        ,Asamblea              ,Bragado        ,Buenos Aires
Bragado        ,Bragado               ,Bragado        ,Buenos Aires
Bragado        ,Comodoro Py           ,Bragado        ,Buenos Aires
