"Nombre","Descripcion","Descripcion","Buenos Aires/Cantidad"
"*","*","Periódico","1.0"
"*","Interés general","Agencia","2.0"
"*","Interés general","Digital","3.0"
"*","Interés general","Radio","1.0"
"25 de Mayo","Interés general","Digital","3.0"
"25 de Mayo","Interés general","Periódico","3.0"
"25 de Mayo","Interés general","Radio","3.0"
"25 de Mayo","Interés general","Revista","1.0"
"25 de Mayo","Interés general","Televisión","1.0"
"25 de Mayo","Música","Digital","1.0"
"25 de Mayo","Música","Radio","2.0"
"30 de Agosto","*","Radio","1.0"
"30 de Agosto","Interés general","Radio","2.0"
"30 de Agosto","Interés general","Televisión","1.0"
"9 de Julio","*","Digital","1.0"
"9 de Julio","Deportes","Digital","1.0"
"9 de Julio","Interés general","Digital","2.0"
"9 de Julio","Interés general","Periódico","3.0"
"9 de Julio","Interés general","Radio","6.0"
"9 de Julio","Interés general","Televisión","1.0"
"9 de Julio","Música","Radio","1.0"
"Adrogué","*","Radio","5.0"
"Adrogué","Deportes","Periódico","1.0"
"Adrogué","Interés general","Digital","2.0"
"Adrogué","Interés general","Periódico","1.0"
"Adrogué","Interés general","Radio","3.0"
"Adrogué","Música","Radio","1.0"
"Adrogué","Música","Televisión","1.0"
"Adrogué","Religión","Televisión","1.0"
"Aguas Verdes","Interés general","Radio","1.0"
"Alberti","Interés general","Digital","2.0"
"Alberti","Interés general","Periódico","1.0"
"Alberti","Interés general","Radio","5.0"
"Alberti","Interés general","Televisión","2.0"
"Alejandro Korn","Interés general","Radio","1.0"
"Almirante Brown","Interés general","Digital","1.0"
"Almirante Brown","Interés general","Radio","1.0"
"América","Interés general","Digital","1.0"
"América","Interés general","Radio","6.0"
"Angel Etcheverri","Interés general","Radio","1.0"
"Arrecifes","Deportes","Digital","1.0"
"Arrecifes","Interés general","Digital","7.0"
"Arrecifes","Interés general","Periódico","6.0"
"Arrecifes","Interés general","Radio","7.0"
"Arrecifes","Música","Radio","2.0"
"Ascensión","Interés general","Periódico","1.0"
"Avellaneda","*","Radio","1.0"
"Avellaneda","Deportes","Digital","10.0"
"Avellaneda","Interés general","Digital","4.0"
"Avellaneda","Interés general","Periódico","3.0"
"Avellaneda","Interés general","Radio","2.0"
"Ayacucho","Interés general","Digital","2.0"
"Ayacucho","Interés general","Periódico","1.0"
"Ayacucho","Interés general","Radio","3.0"
"Ayacucho","Interés general","Televisión","1.0"
"Azul","Interés general","Digital","9.0"
"Azul","Interés general","Periódico","3.0"
"Azul","Interés general","Radio","8.0"
"Azul","Interés general","Televisión","1.0"
"Azul","Música","Radio","3.0"
"Bahía Blanca","*","Digital","2.0"
"Bahía Blanca","*","Periódico","1.0"
"Bahía Blanca","*","Radio","1.0"
"Bahía Blanca","Educación","Radio","1.0"
"Bahía Blanca","Interés general","Digital","10.0"
"Bahía Blanca","Interés general","Periódico","2.0"
"Bahía Blanca","Interés general","Radio","30.0"
"Bahía Blanca","Interés general","Televisión","5.0"
"Bahía Blanca","Música","Radio","6.0"
"Balcarce","Interés general","Digital","3.0"
"Balcarce","Interés general","Periódico","4.0"
"Balcarce","Interés general","Radio","9.0"
"Banfield","*","Radio","1.0"
"Baradero","*","Radio","1.0"
"Baradero","Interés general","Digital","6.0"
"Baradero","Interés general","Periódico","5.0"
"Baradero","Interés general","Radio","6.0"
"Beccar","*","Radio","1.0"
"Beccar","Interés general","Periódico","1.0"
"Belén de Escobar","Interés general","Radio","2.0"
"Bella Vista","Interés general","Periódico","1.0"
"Benavidez","Interés general","Radio","1.0"
"Benavidez","Religión","Radio","1.0"
"Benito Juárez","Interés general","Digital","1.0"
"Benito Juárez","Interés general","Periódico","1.0"
"Benito Juárez","Interés general","Radio","3.0"
"Berazategui","*","Radio","3.0"
"Berazategui","Folclore","Radio","1.0"
"Berazategui","Interés general","Digital","5.0"
"Berazategui","Interés general","Periódico","3.0"
"Berazategui","Interés general","Radio","3.0"
"Berazategui","Policiales","Digital","1.0"
"Berazategui","Religión","Radio","1.0"
"Berisso","Interés general","Periódico","1.0"
"Berisso","Interés general","Radio","4.0"
"Berna","Economía","Digital","1.0"
"Berna","Interés general","Radio","2.0"
"Berna","Interés general","Revista","1.0"
"Berna","Religión","Radio","1.0"
"Billinghurst","*","Radio","1.0"
"Blaquier","Interés general","Radio","1.0"
"Bolívar","Deportes","Radio","1.0"
"Bolívar","Interés general","Digital","3.0"
"Bolívar","Interés general","Periódico","2.0"
"Bolívar","Interés general","Radio","7.0"
"Bolívar","Interés general","Televisión","1.0"
"Bolívar","Música","Radio","1.0"
"Bonifacio","Interés general","Radio","1.0"
"Bragado","*","Radio","1.0"
"Bragado","Interés general","Digital","7.0"
"Bragado","Interés general","Periódico","5.0"
"Bragado","Interés general","Radio","10.0"
"Bragado","Música","Radio","1.0"
"Brandsen","Interés general","Digital","1.0"
"Brandsen","Interés general","Periódico","1.0"
"Brandsen","Interés general","Radio","2.0"
"Cacharí","Interés general","Radio","2.0"
"Cacharí","Interés general","Revista","1.0"
"Campana","Educación","Radio","1.0"
"Campana","Interés general","Digital","2.0"
"Campana","Interés general","Periódico","5.0"
"Campana","Interés general","Radio","9.0"
"Campana","Interés general","Televisión","1.0"
"Campana","Música","Radio","1.0"
"Campana","Religión","Radio","1.0"
"Cañada Seca","Interés general","Radio","1.0"
"Canning","*","Radio","1.0"
"Canning","Interés general","Digital","1.0"
"Cañuelas","*","Digital","1.0"
"Cañuelas","*","Periódico","1.0"
"Cañuelas","Interés general","Digital","2.0"
"Cañuelas","Interés general","Periódico","5.0"
"Cañuelas","Interés general","Radio","4.0"
"Cañuelas","Música","Radio","1.0"
"Capilla del Señor","Interés general","Digital","1.0"
"Capilla del Señor","Interés general","Periódico","2.0"
"Capilla del Señor","Interés general","Radio","1.0"
"Capitán Sarmiento","Interés general","Digital","1.0"
"Capitán Sarmiento","Interés general","Periódico","3.0"
"Capitán Sarmiento","Interés general","Radio","2.0"
"Capitán Sarmiento","Interés general","Revista","1.0"
"Carapachay","Construcción","Digital","2.0"
"Carapachay","Construcción","Revista","1.0"
"Carapachay","Interés general","Periódico","1.0"
"Carhué","Interés general","Digital","2.0"
"Carhué","Interés general","Periódico","1.0"
"Carhué","Interés general","Radio","2.0"
"Carhué","Interés general","Televisión","1.0"
"Carlos Casares","Interés general","Digital","2.0"
"Carlos Casares","Interés general","Periódico","2.0"
"Carlos Casares","Interés general","Radio","4.0"
"Carlos Casares","Interés general","Televisión","1.0"
"Carlos Casares","Música","Radio","1.0"
"Carlos Tejedor","Interés general","Periódico","1.0"
"Carlos Tejedor","Interés general","Radio","5.0"
"Carmen de Areco","Educación","Radio","1.0"
"Carmen de Areco","Interés general","Digital","1.0"
"Carmen de Areco","Interés general","Periódico","2.0"
"Carmen de Areco","Interés general","Radio","3.0"
"Carmen de Areco","Interés general","Revista","2.0"
"Carmen de Patagones","Interés general","Radio","1.0"
"Casbas","Interés general","Radio","1.0"
"Caseros","*","Radio","2.0"
"Caseros","Cultural y Musical","Digital","1.0"
"Caseros","Cultural y Musical","Revista","1.0"
"Caseros","Deportes","Digital","1.0"
"Caseros","Deportes","Radio","1.0"
"Caseros","Interés general","Periódico","1.0"
"Caseros","Interés general","Radio","6.0"
"Caseros","Interés general","Revista","1.0"
"Caseros","Interés general","Televisión","1.0"
"Caseros","Religión","Radio","2.0"
"Caseros","Salud Ambiental","Revista","1.0"
"Castelar","Interés general","Periódico","1.0"
"Castelar","Interés general","Radio","2.0"
"Castelli","Interés general","Periódico","2.0"
"Castelli","Interés general","Radio","1.0"
"Castelli","Interés general","Televisión","1.0"
"Catriló","Interés general","Radio","3.0"
"Catriló","Interés general","Revista","1.0"
"C de Patagones","Interés general","Radio","1.0"
"C. de Patagones","Interés general","Digital","1.0"
"C. de Patagones","Interés general","Radio","1.0"
"Chacabuco","Agropecuario","Digital","1.0"
"Chacabuco","Interés general","Digital","9.0"
"Chacabuco","Interés general","Periódico","6.0"
"Chacabuco","Interés general","Radio","8.0"
"Chascomús","Interés general","Digital","7.0"
"Chascomús","Interés general","Periódico","4.0"
"Chascomús","Interés general","Radio","13.0"
"Chascomús","Música","Radio","3.0"
"Chillar","Interés general","Digital","1.0"
"Chillar","Interés general","Radio","1.0"
"Chivilcoy","*","Radio","2.0"
"Chivilcoy","Interés general","Digital","5.0"
"Chivilcoy","Interés general","Periódico","6.0"
"Chivilcoy","Interés general","Radio","9.0"
"Chivilcoy","Música","Radio","2.0"
"Ciudadela","*","Digital","1.0"
"Ciudadela","Interés general","Radio","2.0"
"Ciudad E. Madero","*","Radio","1.0"
"Claromecó","Interés general","Radio","1.0"
"Claypole","Informática","Digital","1.0"
"Claypole","Interés general","Radio","3.0"
"Claypole","Religión","Radio","3.0"
"Cnel. Brandsen","Interés general","Periódico","1.0"
"Cnel. Pringles","Interés general","Periódico","2.0"
"Colón","Interés general","Digital","2.0"
